118,101,53,0.46902655
116,121,113,1
98,111,79,0.69911504
106,97,80,0.7079646
97,99,80,0.7079646
99,107,102,0.90265487
116,121,112,0.99115044
99,114,97,0.85840708
114,117,97,0.85840708
117,122,97,0.85840708
99,114,96,0.84955752
114,117,96,0.84955752
117,122,96,0.84955752
113,117,103,0.91150442
117,105,103,0.91150442
105,110,103,0.91150442
110,110,103,0.91150442
100,101,31,0.27433628
101,118,83,0.73451327
118,121,31,0.27433628
121,110,31,0.27433628
106,97,79,0.69911504
97,99,79,0.69911504
99,107,101,0.89380531
113,117,102,0.90265487
117,105,102,0.90265487
105,110,102,0.90265487
110,110,102,0.90265487
112,104,76,0.67256637
104,105,14,0.12389381
105,108,14,0.12389381
108,105,18,0.15929204
105,112,14,0.12389381
100,114,44,0.38938053
114,101,50,0.44247788
101,119,44,0.38938053
98,111,78,0.69026549
115,116,52,0.46017699
116,101,52,0.46017699
101,118,82,0.72566372
118,101,52,0.46017699
101,108,23,0.20353982
108,118,23,0.20353982
118,105,23,0.20353982
105,115,23,0.20353982
116,97,4,0.03539823
97,114,4,0.03539823
114,105,4,0.03539823
105,113,4,0.03539823
102,108,78,0.69026549
108,111,78,0.69026549
111,121,78,0.69026549
121,100,78,0.69026549
98,114,22,0.19469027
114,111,22,0.19469027
111,99,22,0.19469027
99,107,100,0.88495575
98,111,77,0.68141593
100,119,61,0.53982301
119,105,61,0.53982301
105,103,61,0.53982301
103,104,84,0.74336283
104,116,61,0.53982301
102,108,77,0.68141593
108,111,77,0.68141593
111,121,77,0.68141593
121,100,77,0.68141593
101,108,22,0.19469027
108,118,22,0.19469027
118,105,22,0.19469027
105,115,22,0.19469027
116,121,111,0.98230088
100,119,60,0.53097345
119,105,60,0.53097345
105,103,60,0.53097345
103,104,83,0.73451327
104,116,60,0.53097345
100,119,59,0.52212389
119,105,59,0.52212389
105,103,59,0.52212389
103,104,82,0.72566372
104,116,59,0.52212389
113,117,101,0.89380531
117,105,101,0.89380531
105,110,101,0.89380531
110,110,101,0.89380531
102,108,76,0.67256637
108,111,76,0.67256637
111,121,76,0.67256637
121,100,76,0.67256637
109,97,103,0.91150442
97,120,103,0.91150442
109,97,102,0.90265487
97,120,102,0.90265487
101,108,21,0.18584071
108,118,21,0.18584071
118,105,21,0.18584071
105,115,21,0.18584071
109,97,101,0.89380531
97,120,101,0.89380531
104,117,23,0.20353982
117,103,23,0.20353982
103,104,81,0.71681416
106,111,19,0.16814159
111,115,19,0.16814159
115,101,19,0.16814159
101,112,19,0.16814159
112,104,75,0.66371681
99,114,95,0.84070796
114,117,95,0.84070796
117,122,95,0.84070796
115,116,51,0.45132743
116,101,51,0.45132743
101,118,81,0.71681416
118,101,51,0.45132743
100,114,43,0.38053097
114,101,49,0.43362832
101,119,43,0.38053097
116,121,110,0.97345133
106,97,78,0.69026549
97,99,78,0.69026549
99,107,99,0.87610619
106,111,18,0.15929204
111,115,18,0.15929204
115,101,18,0.15929204
101,112,18,0.15929204
112,104,74,0.65486726
116,121,109,0.96460177
100,119,58,0.51327434
119,105,58,0.51327434
105,103,58,0.51327434
103,104,80,0.7079646
104,116,58,0.51327434
114,97,43,0.38053097
97,108,43,0.38053097
108,112,43,0.38053097
112,104,73,0.6460177
109,97,100,0.88495575
97,120,100,0.88495575
99,114,94,0.83185841
114,117,94,0.83185841
117,122,94,0.83185841
99,114,93,0.82300885
114,117,93,0.82300885
117,122,93,0.82300885
109,97,99,0.87610619
97,120,99,0.87610619
115,116,50,0.44247788
116,101,50,0.44247788
101,118,80,0.7079646
118,101,50,0.44247788
99,114,92,0.81415929
114,117,92,0.81415929
117,122,92,0.81415929
112,104,72,0.63716814
104,105,13,0.11504425
105,108,13,0.11504425
108,105,17,0.15044248
105,112,13,0.11504425
99,114,91,0.80530973
114,117,91,0.80530973
117,122,91,0.80530973
98,114,21,0.18584071
114,111,21,0.18584071
111,99,21,0.18584071
99,107,98,0.86725664
